Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-31511,13300069,Make BytesToBytesMap iterator() thread-safe,hvanhovell,hvanhovell,Major,Resolved,Fixed,21/Apr/20 19:28,08/Sep/20 05:02,
Bug,SPARK-32764,13325499,compare of -0.0 < 0.0 return true,cloud_fan,igreenfi,Major,Resolved,Fixed,01/Sep/20 10:30,08/Sep/20 03:46,
Bug,SPARK-32805,13326173,Literal integer seems to get confused as column reference,,johngrimes,Major,Resolved,Invalid,06/Sep/20 08:15,07/Sep/20 05:53,
Bug,SPARK-32767,13325556,Bucket join should work if spark.sql.shuffle.partitions larger than bucket number,yumwang,yumwang,Major,Resolved,Fixed,01/Sep/20 16:37,04/Sep/20 00:01,
Bug,SPARK-32766,13325539,s3a: bucket names with dots cannot be used,,ondrej,Minor,Resolved,Invalid,01/Sep/20 14:40,02/Sep/20 20:41,
Bug,SPARK-32108,13313666,Silent mode of spark-sql is broken,,maxgekk,Major,Resolved,Not A Problem,26/Jun/20 18:04,01/Sep/20 11:58,
Bug,SPARK-32728,13325029,Using groupby with rand creates different values when joining table with itself,,jwbargsten,Minor,Resolved,Invalid,28/Aug/20 13:24,01/Sep/20 00:51,
Bug,SPARK-32624,13322873,Replace getClass.getName with getClass.getCanonicalName in CodegenContext.addReferenceObj,yumwang,yumwang,Major,Resolved,Fixed,15/Aug/20 13:33,31/Aug/20 19:36,
Bug,SPARK-32720,13324925,Spark 3 Fails to Cast DateType to StringType when comparing result of Max,,markus.notti,Major,Resolved,Cannot Reproduce,27/Aug/20 22:19,31/Aug/20 06:00,
Bug,SPARK-32639,13323071,Support GroupType parquet mapkey field,Chen Zhang,Chen Zhang,Major,Resolved,Fixed,17/Aug/20 15:10,28/Aug/20 16:52,
Bug,SPARK-32705,13324600,"EmptyHashedRelation$; no valid constructor",leanken,leanken,Major,Resolved,Fixed,26/Aug/20 07:34,27/Aug/20 06:25,
Bug,SPARK-32697,13324469,Direct Date and timestamp format data insertion fails,,chetdb,Minor,Resolved,Not A Problem,25/Aug/20 12:46,26/Aug/20 04:29,
Bug,SPARK-32700,13324489,select from table TABLESAMPLE gives wrong resultset.,,chetdb,Minor,Resolved,Invalid,25/Aug/20 14:46,26/Aug/20 03:00,
Bug,SPARK-32614,13322662,"Support for treating the line as valid record if it starts with \u0000 or null character, or starts with any character mentioned as comment",srowen,Chanduhawk,Minor,Resolved,Fixed,14/Aug/20 04:42,25/Aug/20 15:29,
Bug,SPARK-32683,13323949,Datetime Pattern F not working as expected,Qin Yao,lamanus,Major,Resolved,Fixed,21/Aug/20 12:34,25/Aug/20 13:27,
Bug,SPARK-32646,13323148,ORC predicate pushdown should work with case-insensitive analysis,viirya,viirya,Major,Resolved,Fixed,18/Aug/20 03:33,25/Aug/20 04:44,
Bug,SPARK-32588,13321998,SizeEstimator class not always properly initialized in tests.,mundaym,mundaym,Minor,Resolved,Fixed,11/Aug/20 11:59,24/Aug/20 15:20,
Bug,SPARK-32672,13323837,Data corruption in some cached compressed boolean columns,revans2,revans2,Blocker,Resolved,Fixed,20/Aug/20 21:24,22/Aug/20 12:41,
Bug,SPARK-32663,13323638,TransportClient getting closed when there are outstanding requests to the server,attilapiros,csingh,Major,Resolved,Fixed,20/Aug/20 00:47,21/Aug/20 06:05,
Bug,SPARK-32632,13322977,Bad partitioning in spark jdbc method with parameter lowerBound and upperBound,,DingGa,Major,Resolved,Not A Problem,17/Aug/20 02:39,21/Aug/20 01:35,
Bug,SPARK-31101,13290680,Upgrade Janino to 3.0.16,kabhwan,kabhwan,Major,Resolved,Fixed,10/Mar/20 00:48,20/Aug/20 20:28,
Bug,SPARK-32671,13323807,Race condition in MapOutputTracker.getStatistics,,andygrove,Major,Resolved,Invalid,20/Aug/20 17:04,20/Aug/20 19:50,
Bug,SPARK-32621,13322839,"""path"" option is added again to input paths during infer()",imback82,imback82,Minor,Resolved,Fixed,15/Aug/20 01:27,20/Aug/20 17:19,
Bug,SPARK-32650,13323347,Not able to Deserialize Mleap bundle with latest spark configuration,,VaishaliPapneja,Major,Resolved,Invalid,18/Aug/20 12:17,20/Aug/20 15:03,
Bug,SPARK-30462,13278181,Structured Streaming _spark_metadata fills up Spark Driver memory when having lots of objects,kabhwan,Vladimir Yankov,Major,Resolved,Fixed,08/Jan/20 14:57,20/Aug/20 09:31,
Bug,SPARK-32658,13323492,Partition length number overflow in `PartitionWriterStream`,jiangxb1987,jiangxb1987,Blocker,Resolved,Fixed,19/Aug/20 06:48,20/Aug/20 07:09,
Bug,SPARK-32633,13322982,GenericRowWithSchema cannot be cast to GenTraversableOnce,,Mengjie,Major,Resolved,Cannot Reproduce,17/Aug/20 03:50,19/Aug/20 05:52,
Bug,SPARK-32652,13323390,ObjectSerializerPruning fails for RowEncoder,cloud_fan,cloud_fan,Major,Resolved,Fixed,18/Aug/20 15:55,19/Aug/20 04:51,
Bug,SPARK-26575,13208441,revisit the equality of NaN,,cloud_fan,Major,Resolved,Won't Fix,09/Jan/19 01:04,18/Aug/20 16:09,
Bug,SPARK-32518,13320595,CoarseGrainedSchedulerBackend.maxNumConcurrentTasks should consider all kinds of resources,Ngone51,Ngone51,Major,Resolved,Fixed,03/Aug/20 05:53,18/Aug/20 06:51,
Bug,SPARK-32018,13312081,Fix UnsafeRow set overflowed decimal,cloud_fan,allisonwang-db,Major,Resolved,Fixed,17/Jun/20 23:59,18/Aug/20 04:03,
Bug,SPARK-32615,13322677,Fix AQE aggregateMetrics java.util.NoSuchElementException,leanken,leanken,Minor,Resolved,Fixed,14/Aug/20 06:53,17/Aug/20 14:28,
Bug,SPARK-32611,13322595,Querying ORC table in Spark3 using spark.sql.orc.impl=hive produces incorrect when timestamp is present in predicate,,sumeet.gajjar,Major,Resolved,Cannot Reproduce,13/Aug/20 18:57,17/Aug/20 05:40,
Bug,SPARK-32626,13322885,Do not increase the input metrics when read rdd from cache,,Udbhav Agrawal,Minor,Resolved,Not A Problem,15/Aug/20 15:15,17/Aug/20 04:37,
Bug,SPARK-32502,13320267,Please fix CVE related to Guava 14.0.1,,AceHack,Major,Resolved,Duplicate,30/Jul/20 19:40,16/Aug/20 17:24,
Bug,SPARK-32604,13322388,Bug in ALSModel Python Documentation,,zachc16,Minor,Resolved,Duplicate,12/Aug/20 22:16,16/Aug/20 17:12,
Bug,SPARK-32336,13317262,11 Critical & 4 High severity issues in Apcahe Spark 3.0.0 - dependency libraries,,ABakerIII,Major,Resolved,Invalid,16/Jul/20 22:08,16/Aug/20 16:59,
Bug,SPARK-32625,13322876,Log error message when falling back to interpreter mode,yumwang,yumwang,Major,Resolved,Fixed,15/Aug/20 13:49,15/Aug/20 19:32,
Bug,SPARK-32234,13315713,Spark sql commands are failing on select Queries for the  orc tables,saurabhc100,saurabhc100,Blocker,Resolved,Fixed,08/Jul/20 19:38,14/Aug/20 11:22,
Bug,SPARK-32345,13317402,SemanticException Failed to get a spark session: org.apache.hadoop.hive.ql.metadata.HiveException: Failed to create Spark client for Spark session,,renjianting001,Blocker,Resolved,Invalid,17/Jul/20 12:04,14/Aug/20 05:17,
Bug,SPARK-32556,13321233,Fix release script to uri encode the user provided passwords.,prashant,prashant,Major,Resolved,Fixed,06/Aug/20 05:33,13/Aug/20 10:18,
Bug,SPARK-20680,13070377,Spark-sql do not support for void column datatype of view,cltlfcjin,cltlfcjin,Major,Resolved,Fixed,09/May/17 10:28,13/Aug/20 05:13,
Bug,SPARK-32602,13322300,Data with date type are saved into hive table with wrong value '1970-01-01',,qiu_wenxiang,Major,Resolved,Duplicate,12/Aug/20 15:58,12/Aug/20 16:39,
Bug,SPARK-32596,13322149,Clear Ivy resolution files as part of the finally block,vsowrirajan,vsowrirajan,Major,Resolved,Fixed,11/Aug/20 23:19,12/Aug/20 06:12,
Bug,SPARK-32580,13321773,Issue accessing a column values after 'explode' function,,airatsa,Major,Resolved,Fixed,10/Aug/20 11:13,11/Aug/20 16:15,
Bug,SPARK-32576,13321715,Support PostgreSQL `bpchar` type and array of char type,kujon,kujon,Minor,Resolved,Fixed,10/Aug/20 01:50,10/Aug/20 07:42,
Bug,SPARK-32559,13321267,Fix the trim logic in UTF8String.toInt/toLong did't handle Chinese characters correctly,EdisonWang,EdisonWang,Major,Resolved,Fixed,06/Aug/20 09:02,09/Aug/20 19:14,
Bug,SPARK-32558,13321262,ORC target files that Spark_3.0 produces does not work with Hive_2.1.1 (work-around of using spark.sql.orc.impl=hive is also not working),,ramks,Major,Resolved,Invalid,06/Aug/20 08:23,09/Aug/20 19:00,
Bug,SPARK-32538,13321032,Use local time zone for the timestamp logged in unit-tests.log,sarutak,sarutak,Minor,Resolved,Fixed,05/Aug/20 07:46,07/Aug/20 02:32,
Bug,SPARK-32551,13321192,Ambiguous self join error in non self join with window,,kdhuria,Major,Closed,Fixed,05/Aug/20 23:35,06/Aug/20 18:04,
Bug,SPARK-31956,13310672,Do not fail if there is no ambiguous self join,cloud_fan,cloud_fan,Major,Resolved,Fixed,10/Jun/20 13:51,06/Aug/20 18:04,
Bug,SPARK-32547,13321131,Cant able to process Timestamp 0001-01-01T00:00:00.000+0000 with TimestampType,,ManjunathHatti,Major,Resolved,Invalid,05/Aug/20 16:32,06/Aug/20 10:21,
Bug,SPARK-32529,13320889,Spark 3.0 History Server May Never Finish One Round Log Dir Scan,yanxl,yanxl,Major,Resolved,Fixed,04/Aug/20 15:08,05/Aug/20 18:02,
Bug,SPARK-32485,13319982,RecordBinaryComparatorSuite test failures on big-endian systems,mundaym,mundaym,Minor,Resolved,Fixed,29/Jul/20 14:05,05/Aug/20 16:11,
Bug,SPARK-32237,13315797,Cannot resolve column when put hint in the views of common table expression,cltlfcjin,kernelforce,Major,Resolved,Fixed,09/Jul/20 06:38,05/Aug/20 07:02,
Bug,SPARK-32535,13320982,Query with broadcast hints fail when query has a WITH clause,,ariyer,Major,Resolved,Duplicate,05/Aug/20 00:37,05/Aug/20 07:02,
Bug,SPARK-32003,13311756,Shuffle files for lost executor are not unregistered if fetch failure occurs after executor is lost,wypoon,wypoon,Major,Resolved,Fixed,16/Jun/20 15:56,04/Aug/20 19:38,
Bug,SPARK-32160,13314787,Executors should not be able to create SparkContext.,ueshin,ueshin,Major,Resolved,Fixed,02/Jul/20 23:24,03/Aug/20 21:34,
Bug,SPARK-32509,13320394,Unused DPP Filter causes issue in canonicalization and prevents reuse exchange,prakharjain09,prakharjain09,Major,Resolved,Fixed,31/Jul/20 12:05,03/Aug/20 03:26,
Bug,SPARK-32514,13320478,Pyspark: Issue using sql query in foreachBatch sink,,mmuru,Major,Resolved,Not A Problem,31/Jul/20 23:00,01/Aug/20 01:31,
Bug,SPARK-32332,13317182,AQE doesn't adequately allow for Columnar Processing extension ,cloud_fan,tgraves,Major,Resolved,Fixed,16/Jul/20 14:50,31/Jul/20 16:15,
Bug,SPARK-32431,13319187,The .schema() API behaves incorrectly for nested schemas that have column duplicates in case-insensitive mode,maxgekk,mswit,Major,Resolved,Fixed,24/Jul/20 15:20,31/Jul/20 12:12,
Bug,SPARK-32175,13315046,Fix the order between initialization for ExecutorPlugin and starting heartbeat thread,sarutak,sarutak,Major,Resolved,Fixed,05/Jul/20 20:59,31/Jul/20 01:35,
Bug,SPARK-32227,13315593,Bug in load-spark-env.cmd  with Spark 3.0.0,ibobak,ibobak,Major,Resolved,Fixed,08/Jul/20 09:55,30/Jul/20 12:48,
Bug,SPARK-32475,13319889,"java.lang.NoSuchMethodError: java.nio.ByteBuffer.flip()Ljava/nio/ByteBuffer;",,csbliss,Major,Resolved,Not A Problem,29/Jul/20 04:36,30/Jul/20 08:06,
Bug,SPARK-29314,13259861,ProgressReporter.extractStateOperatorMetrics should not overwrite updated as 0 when it actually runs a batch even with no data,kabhwan,kabhwan,Major,Resolved,Fixed,01/Oct/19 09:52,30/Jul/20 05:39,
Bug,SPARK-32283,13316330,Multiple Kryo registrators can't be used anymore,cltlfcjin,LorenzB,Minor,Resolved,Fixed,12/Jul/20 11:26,29/Jul/20 03:58,
Bug,SPARK-32458,13319520,Mismatched row access sizes in tests,mundaym,mundaym,Minor,Resolved,Fixed,27/Jul/20 10:18,28/Jul/20 17:37,
Bug,SPARK-31267,13294172,Flaky test: WholeStageCodegenSparkSubmitSuite.Generated code on driver should not embed platform-specific constant,tianshi,gsomogyi,Major,Resolved,Fixed,26/Mar/20 10:51,28/Jul/20 12:06,
Bug,SPARK-32176,13315047,Automatic type promotion to ArrayType in defined schema in from_json is broken,,abhi92544,Major,Resolved,Cannot Reproduce,05/Jul/20 21:05,28/Jul/20 07:30,
Bug,SPARK-32369,13318244,pyspark foreach/foreachPartition send http request failed,,tmylt,Major,Resolved,Workaround,20/Jul/20 12:27,28/Jul/20 07:11,
Bug,SPARK-32213,13315490,saveAsTable deletes all files in path,,yuvalr,Major,Resolved,Not A Problem,07/Jul/20 21:10,28/Jul/20 04:27,
Bug,SPARK-31993,13311394,Generated code in 'concat_ws' fails to compile when splitting method is in effect,kabhwan,kabhwan,Major,Resolved,Fixed,15/Jun/20 06:40,27/Jul/20 18:22,
Bug,SPARK-32425,13319124,Spark sequence() fails if start and end of range are identical timestamps,,laurikoobas,Minor,Resolved,Duplicate,24/Jul/20 09:02,27/Jul/20 15:46,
Bug,SPARK-29918,13268622,RecordBinaryComparator should check endianness when compared by long,EdisonWang,EdisonWang,Minor,Resolved,Fixed,15/Nov/19 16:58,27/Jul/20 10:51,
Bug,SPARK-31587,13301431,R installation in Github Actions is being failed,hyukjin.kwon,hyukjin.kwon,Major,Resolved,Duplicate,28/Apr/20 02:21,27/Jul/20 07:46,
Bug,SPARK-29664,13265342,Column.getItem behavior is not consistent with Scala version,imback82,imback82,Major,Resolved,Fixed,30/Oct/19 16:57,27/Jul/20 07:46,
Bug,SPARK-31488,13299491,Support `java.time.LocalDate` in Parquet filter pushdown,maxgekk,maxgekk,Major,Resolved,Fixed,19/Apr/20 15:56,26/Jul/20 05:52,
Bug,SPARK-32430,13319185,Allow plugins to inject rules into AQE query stage preparation,andygrove,tgraves,Major,Resolved,Fixed,24/Jul/20 14:51,24/Jul/20 18:04,
Bug,SPARK-32372,13318276,"""Resolved attribute(s) XXX missing"" after dudup conflict references",Ngone51,Ngone51,Major,Resolved,Fixed,20/Jul/20 14:48,24/Jul/20 04:27,
Bug,SPARK-32386,13318639,Fix temp view leaking in Structured Streaming tests,,XuanYuan,Minor,Resolved,Won't Fix,22/Jul/20 08:37,23/Jul/20 15:08,
Bug,SPARK-32251,13315907,fix SQL keyword document,cloud_fan,cloud_fan,Major,Resolved,Fixed,09/Jul/20 13:51,23/Jul/20 06:50,
Bug,SPARK-32152,13314611,./bin/spark-sql got error with reading hive metastore,,jodang99,Major,Closed,Fixed,02/Jul/20 07:47,23/Jul/20 04:50,
Bug,SPARK-32347,13317432,"BROADCAST hint makes a weird message that ""column can't be resolved"" (it was OK in Spark 2.4)",,ibobak,Major,Closed,Duplicate,17/Jul/20 15:12,23/Jul/20 00:46,
Bug,SPARK-31922,13309875,"""RpcEnv already stopped"" error when exit spark-shell with local-cluster mode",Ngone51,Ngone51,Major,Resolved,Fixed,06/Jun/20 15:12,22/Jul/20 06:17,
Bug,SPARK-32377,13318369,CaseInsensitiveMap should be deterministic for addition,dongjoon,girish_pandit,Major,Resolved,Fixed,21/Jul/20 00:39,21/Jul/20 22:58,
Bug,SPARK-32362,13318153,AdaptiveQueryExecSuite misses verifying AE results,cltlfcjin,cltlfcjin,Major,Resolved,Fixed,20/Jul/20 04:05,21/Jul/20 03:48,
Bug,SPARK-32344,13317336,Unevaluable expr is set to FIRST/LAST ignoreNullsExpr in distinct aggregates,maropu,maropu,Minor,Resolved,Fixed,17/Jul/20 07:04,20/Jul/20 06:38,
Bug,SPARK-29157,13257508,DataSourceV2: Add DataFrameWriterV2 to Python API,zero323,rdblue,Major,Resolved,Fixed,18/Sep/19 21:10,20/Jul/20 01:44,
Bug,SPARK-32094,13313315,Patch cloudpickle.py with typing module side-effect fix,hyukjin.kwon,codesue,Major,Resolved,Fixed,24/Jun/20 19:19,17/Jul/20 02:49,
Bug,SPARK-32220,13315551,Cartesian Product Hint cause data error,angerszhuuu,angerszhuuu,Blocker,Resolved,Fixed,08/Jul/20 06:12,14/Jul/20 01:30,
Bug,SPARK-31226,13293252,Fix SizeBasedCoalesce in tests,angerszhuuu,angerszhuuu,Minor,Resolved,Fixed,23/Mar/20 09:07,11/Jul/20 21:48,
Bug,SPARK-32232,13315667,IllegalArgumentException: MultilayerPerceptronClassifier_... parameter solver given invalid value auto,huaxingao,st_60,Major,Resolved,Fixed,08/Jul/20 15:57,11/Jul/20 15:38,
Bug,SPARK-32238,13315809,Use Utils.getSimpleName to avoid hitting Malformed class name in ScalaUDF,Ngone51,Ngone51,Minor,Resolved,Fixed,09/Jul/20 07:19,11/Jul/20 13:46,
Bug,SPARK-31918,13309823,SparkR CRAN check gives a warning with R 4.0.0 on OSX,hyukjin.kwon,shivaram,Blocker,Resolved,Fixed,06/Jun/20 02:58,10/Jul/20 19:41,
Bug,SPARK-31447,13298412,DATE_PART functions produces incorrect result,,sathyaprakashg,Minor,Resolved,Won't Fix,14/Apr/20 22:53,10/Jul/20 18:34,
Bug,SPARK-32256,13315934,Hive may fail to detect Hadoop version when using isolated classloader,zsxwing,zsxwing,Blocker,Resolved,Fixed,09/Jul/20 15:50,10/Jul/20 12:15,
Bug,SPARK-32035,13312433,Inconsistent AWS environment variables in documentation,rjoerger,ondrej,Minor,Resolved,Fixed,19/Jun/20 10:13,09/Jul/20 18:02,
Bug,SPARK-32159,13314757,New udaf(Aggregator) has an integration bug with UnresolvedMapObjects serialization,eje,eje,Major,Resolved,Fixed,02/Jul/20 18:05,09/Jul/20 08:42,
Bug,SPARK-32148,13314462,LEFT JOIN generating non-deterministic and unexpected result (regression in Spark 3.0),kabhwan,hiddenbit,Blocker,Resolved,Fixed,01/Jul/20 12:01,09/Jul/20 07:39,
Bug,SPARK-32024,13312238,Disk usage tracker went negative in HistoryServerDiskManager,zhli,zhli,Minor,Resolved,Fixed,18/Jun/20 13:54,08/Jul/20 23:37,
Bug,SPARK-32167,13314849,nullability of GetArrayStructFields is incorrect,cloud_fan,cloud_fan,Blocker,Resolved,Fixed,03/Jul/20 08:21,08/Jul/20 20:32,
Bug,SPARK-32174,13315043,toPandas attempted Arrow optimization but has reached an error and can not continue,,ramin,Major,Resolved,Not A Problem,05/Jul/20 18:08,08/Jul/20 17:15,
Bug,SPARK-32214,13315498,"The type conversion function generated in makeFromJava for ""other""  type uses a wrong variable.",sarutak,sarutak,Minor,Resolved,Fixed,07/Jul/20 21:59,08/Jul/20 08:48,
Bug,SPARK-32163,13314805,Nested pruning should still work for nested column extractors of attributes with cosmetic variations,viirya,viirya,Major,Resolved,Fixed,03/Jul/20 02:14,08/Jul/20 02:19,
Bug,SPARK-32057,13312905,SparkExecuteStatementOperation does not set CANCELED state correctly ,smesseim,smesseim,Major,Resolved,Fixed,22/Jun/20 21:00,08/Jul/20 00:29,
Bug,SPARK-32098,13313420,Use iloc for positional slicing instead of direct slicing in createDataFrame with Arrow,hyukjin.kwon,hyukjin.kwon,Critical,Resolved,Fixed,25/Jun/20 10:44,06/Jul/20 06:15,
Bug,SPARK-31354,13296362,SparkSession Lifecycle methods to fix memory leak,vinooganesh,vinooganesh,Major,Resolved,Fixed,05/Apr/20 14:36,03/Jul/20 03:32,
Bug,SPARK-32130,13314087,Spark 3.0 json load performance is unacceptable in comparison of Spark 2.4,maxgekk,lotus2you,Critical,Resolved,Fixed,29/Jun/20 15:53,02/Jul/20 20:23,
Bug,SPARK-32157,13314731,Integer overflow when constructing large query plan string ,,tanelk,Major,Closed,Duplicate,02/Jul/20 15:32,02/Jul/20 15:37,
Bug,SPARK-31916,13309781,"StringConcat can overflow `length`, leads to StringIndexOutOfBoundsException",dkbiswal,jstokes,Major,Resolved,Fixed,05/Jun/20 17:55,02/Jul/20 15:35,
Bug,SPARK-31061,13289932,Impossible to change the provider of a table in the HiveMetaStore,brkyvz,brkyvz,Major,Resolved,Fixed,06/Mar/20 00:49,02/Jul/20 10:09,
Bug,SPARK-32136,13314242,Spark producing incorrect groupBy results when key is a struct with nullable properties,viirya,jasonmoore2k,Blocker,Resolved,Fixed,30/Jun/20 08:59,02/Jul/20 04:58,
Bug,SPARK-31935,13310242,Hadoop file system config should be effective in data source options ,Gengliang.Wang,Gengliang.Wang,Major,Resolved,Fixed,08/Jun/20 23:16,02/Jul/20 04:07,
Bug,SPARK-32147,13314427,Spark: PartitionBy changing the columns value ,,kornsanz,Major,Resolved,Not A Problem,01/Jul/20 08:26,01/Jul/20 12:39,
Bug,SPARK-32132,13314125,"Thriftserver interval returns ""4 weeks 2 days"" in 2.4 and ""30 days"" in 3.0",,juliuszsompolski,Minor,Resolved,Not A Problem,29/Jun/20 19:18,01/Jul/20 11:20,
Bug,SPARK-32124,13313890,[SHS] Failed to parse FetchFailed TaskEndReason from event log produce by Spark 2.4 ,warrenzhu25,warrenzhu25,Minor,Resolved,Fixed,28/Jun/20 22:46,01/Jul/20 08:22,
Bug,SPARK-32095,13313317,[DataSource V2] Documentation on SupportsReportStatistics Outdated?,emkornfield,emkornfield,Minor,Resolved,Fixed,24/Jun/20 19:31,01/Jul/20 07:15,
Bug,SPARK-32131,13314100,Fix AnalysisException messages at UNION/INTERSECT/EXCEPT/MINUS operations,小郭飞飞刀,小郭飞飞刀,Minor,Resolved,Fixed,29/Jun/20 16:45,01/Jul/20 06:40,
Bug,SPARK-32028,13312355,App id link in history summary page point to wrong application attempt,zhli,zhli,Minor,Resolved,Fixed,19/Jun/20 04:54,01/Jul/20 06:10,
Bug,SPARK-32068,13312967,Spark 3 UI task launch time show in error time zone,JinxinTang,d87904488,Major,Resolved,Fixed,23/Jun/20 05:56,30/Jun/20 13:59,
Bug,SPARK-32115,13313817,Incorrect results for SUBSTRING when overflow,XuanYuan,XuanYuan,Blocker,Resolved,Fixed,28/Jun/20 04:28,30/Jun/20 08:06,
Bug,SPARK-32126,13313915,Scope Session.active in IncrementalExecution,XuanYuan,dongjoon,Major,Resolved,Fixed,29/Jun/20 04:34,29/Jun/20 04:38,
Bug,SPARK-31095,13290548,Upgrade netty-all to 4.1.47.Final,dongjoon,visvijay,Major,Resolved,Fixed,09/Mar/20 14:38,28/Jun/20 07:48,
Bug,SPARK-31859,13308129,Thriftserver with spark.sql.datetime.java8API.enabled=true,juliuszsompolski,juliuszsompolski,Major,Resolved,Fixed,28/May/20 18:48,27/Jun/20 17:13,
Bug,SPARK-32023,13312214,Generate spark streaming test jar with maven plugin maven-jar-plugin,,wankun,Minor,Closed,Cannot Reproduce,18/Jun/20 12:18,27/Jun/20 02:03,
Bug,SPARK-29999,13270070,Writing empty partition via DSv2 implementation of FileStreamSink throws FileNotFoundException,kabhwan,kabhwan,Critical,Resolved,Fixed,22/Nov/19 11:16,26/Jun/20 07:23,
Bug,SPARK-32038,13312568,Regression in handling NaN values in COUNT(DISTINCT),viirya,mithun,Blocker,Resolved,Fixed,19/Jun/20 23:44,24/Jun/20 08:37,
Bug,SPARK-31382,13297008,Show a better error message for different python and pip installation mistake,hyukjin.kwon,hyukjin.kwon,Major,Resolved,Fixed,08/Apr/20 07:53,24/Jun/20 08:22,
Bug,SPARK-31220,13293226,repartition obeys spark.sql.adaptive.coalescePartitions.initialPartitionNum when spark.sql.adaptive.enabled,yumwang,yumwang,Major,Resolved,Fixed,23/Mar/20 05:17,22/Jun/20 19:38,
Bug,SPARK-32034,13312415,Port HIVE-14817: Shutdown the SessionManager timeoutChecker thread properly upon shutdown,Qin Yao,Qin Yao,Major,Resolved,Fixed,19/Jun/20 08:45,22/Jun/20 08:14,
Bug,SPARK-31905,13309379,Add compatibility tests for streaming state store format,XuanYuan,XuanYuan,Major,Resolved,Fixed,04/Jun/20 07:44,22/Jun/20 07:57,
Bug,SPARK-32021,13312194,make_interval does not accept seconds >100,maxgekk,juliuszsompolski,Major,Resolved,Fixed,18/Jun/20 11:23,20/Jun/20 18:12,
Bug,SPARK-32008,13311813,3.0.0 release build fails,,Reamer,Major,Closed,Fixed,16/Jun/20 20:35,17/Jun/20 08:40,
Bug,SPARK-31549,13300700,Pyspark SparkContext.cancelJobGroup do not work correctly,weichenxu123,weichenxu123,Critical,Resolved,Fixed,24/Apr/20 03:22,17/Jun/20 01:22,
Bug,SPARK-31997,13311632,Should drop test_udtf table when SingleSessionSuite completed,LuciferYang,LuciferYang,Minor,Resolved,Fixed,16/Jun/20 05:17,16/Jun/20 10:21,
Bug,SPARK-27296,13224451,Efficient User Defined Aggregators ,eje,eje,Major,Resolved,Fixed,27/Mar/19 23:12,15/Jun/20 21:24,
Bug,SPARK-31994,13311453,Docker image should use `https` urls for only mirrors that support it(SSL),prashant,prashant,Minor,Resolved,Fixed,15/Jun/20 10:04,15/Jun/20 18:27,
Bug,SPARK-31990,13311352,Streaming's state store compatibility is broken,maropu,smilegator,Blocker,Resolved,Fixed,14/Jun/20 19:10,15/Jun/20 14:49,
Bug,SPARK-31925,13310037,Summary.totalIterations greater than maxIters,huaxingao,podongfeng,Minor,Resolved,Fixed,08/Jun/20 07:05,15/Jun/20 13:49,
Bug,SPARK-31983,13311259,Tables of structured streaming tab show wrong result for duration column,rakson,rakson,Major,Resolved,Fixed,13/Jun/20 14:46,15/Jun/20 01:44,
Bug,SPARK-31632,13302539,The ApplicationInfo in KVStore may be accessed before it's prepared,xccui,xccui,Minor,Resolved,Fixed,03/May/20 21:50,14/Jun/20 05:20,
Bug,SPARK-30968,13287958,Upgrade aws-java-sdk-sts to 1.11.655,dongjoon,dongjoon,Minor,Resolved,Fixed,27/Feb/20 07:54,13/Jun/20 16:31,
Bug,SPARK-31958,13310689,normalize special floating numbers in subquery,cloud_fan,cloud_fan,Major,Resolved,Fixed,10/Jun/20 15:18,11/Jun/20 06:39,
Bug,SPARK-31965,13310803,Run the tests in registerJavaFunction and registerJavaUDAF only when test classes are complied,hyukjin.kwon,hyukjin.kwon,Minor,Resolved,Fixed,11/Jun/20 03:08,11/Jun/20 04:16,
Bug,SPARK-31915,13309774,Resolve the grouping column properly per the case sensitivity in grouped and cogrouped pandas UDFs,hyukjin.kwon,hyukjin.kwon,Major,Resolved,Fixed,05/Jun/20 17:11,11/Jun/20 03:55,
Bug,SPARK-29897,13268308,Implicit cast to timestamp is failing ,,abhishek.akg,Minor,Resolved,Won't Do,14/Nov/19 13:16,10/Jun/20 09:24,
Bug,SPARK-31941,13310352,Handling the exception in SparkUI for getSparkUser method,saurabhc100,saurabhc100,Minor,Resolved,Fixed,09/Jun/20 09:46,10/Jun/20 08:01,
Bug,SPARK-31921,13309873,"Wrong warning of ""WARN Master: App app-xxx requires more resource than any of Workers could have.""",Ngone51,Ngone51,Major,Resolved,Fixed,06/Jun/20 14:24,09/Jun/20 16:23,
Bug,SPARK-30274,13274870,Avoid BytesToBytesMap lookup hang forever when holding keys reaching max capacity,viirya,viirya,Major,Resolved,Fixed,17/Dec/19 01:26,08/Jun/20 20:57,
Bug,SPARK-30312,13275601,Preserve path permission when truncate table,viirya,viirya,Major,Resolved,Fixed,19/Dec/19 22:09,08/Jun/20 19:59,
Bug,SPARK-21492,13088904,Memory leak in SortMergeJoin,XuanYuan,zhzhan,Major,Resolved,Fixed,20/Jul/17 21:34,08/Jun/20 17:37,
Bug,SPARK-28152,13241349,Mapped ShortType to SMALLINT and FloatType to REAL for MsSqlServerDialect,shivsood,shivsood,Minor,Resolved,Fixed,24/Jun/19 22:08,08/Jun/20 17:06,
